Date,Time,Type,Owner/operator,Total airframe hrs,Fatalities,Location,Phase,Nature,Departure airport,Destination airport,Narrative
Saturday 8 March 2014,08:11,Boeing 777-2H6ER,Malaysia Airlines,53471,239,"within Indian Ocean - 
	   Indian Ocean",En route,Passenger - Scheduled,Kuala Lumpur International Airport (KUL/WMKK),Beijing-Capital International Airport (PEK/ZBAA),"Malaysia Airlines Flight MH370 from Kuala Lumpur, Malaysia to Beijing, China was reported missing on March 8, 2014. There were 227 passengers and 12 crew members on board. The Boeing 777-2H6ER took off from Kuala Lumpur International Airport's runway 32R at 00:41. At 00:42 the flight was cleared to climb to FL180 and was issued a direct track by Lumpur Approach to the IGARI waypoint. MH370 was then transferred to Lumpur Radar and was cleared to climb to FL250. At 00:50 the flight was further cleared to the planned cruising altitude of FL350. MH370 reported maintaining FL350 at 01:07. Last radio contact was at 01:19 when the Kuala Lumpur Radar controller instructed the flight to contact the radio frequency of Ho Chi Minh Air Traffic Control Centre, Vietnam: ""Malaysian Three Seven Zero contact Ho Chi Minh 120 decimal 9 Good Night"". One of the flight crew members replied: ""Good night, Malaysian Three Seven Zero.""  At 01:21 MH370 was observed on the radar screen of the Kuala Lumpur Radar controller as it passed over waypoint IGARI. Nine seconds later the radar label for MH370 disappeared from the radar screen. The transponder was switched off.  At 01:38 Ho Chi Minh ATCC contacted Kuala Lumpur ATCC on the whereabouts of MH370. Kuala Lumpur ATCC contacted the airline's operations centre, Singapore ACC, Hong Kong ACC, and Phnom Penh ACC, failing to establish the location of MH370. Meanwhile, the airplane flew in a westerly direction back over peninsular Malaysia before turning northwest. Primary radar data showed that the aircraft tracked along the Malacca Strait. During this time the aircraft passed close to waypoints VAMPI, MEKAR, NILAM and possibly IGOGU along a section of airway N571. The final primary radar fix occurred at 02:22. From then on seven handshakes between the aircraft's SATCOM system and the Inmarsat ground station were recorded. Last satellite data was recorded at 08:11 Malaysian time.  Initially search efforts focused on the South China Sea area. On 24 March 2014 further analysis of the Inmarsat satellite data indicated that MH370 flew south and ended its flight in the southern part of the Indian Ocean.  A surface search was conducted of probable impact areas along an arc, identified by calculations based on Inmarsat data. The search was carried out from 18 March - 28 April 2014. This search effort was undertaken by an international fleet of aircraft and ships with the search areas over this time progressing generally from an initial southwest location along the arc in a north-easterly direction. No debris associated with MH370 was identified either from the surface search, acoustic search or from the ocean floor search in the vicinity of acoustic detections, which were initially believed to have been from the pingers on the flight recorders. The ocean floor search was completed on 28 May 2014. On June 26 the ATSB published a new search area based on refinements to the analysis of both the flight and satellite data. The priority area of approximately 60,000 km2 extends along the arc for 650 km in a northeast direction from Broken Ridge, an underwater ridge. The width of the priority search area is 93 km.  On July 29, 2015 a flapperon washed ashore on the French island of Réunion in the Indian Ocean. On August 5 it was established to have been from MH370.  The Team is unable to determine the real cause for the disappearance of MH370."
Wednesday 14 March 2018,,Boeing 777-31HER,Emirates,,1,"Entebbe Airport (EBB/HUEN) - 
	   Uganda",Standing,Passenger - Scheduled,Entebbe Airport (EBB/HUEN),Dubai Airport (DXB/OMDB),"Emirates Airlines flight EK730, a Boeing 777-31HER, was being prepared for boarding on the apron at Entebbe Airport (EBB) when a flight attendant fell from an open door. She died of injuries sustained in the fall."
Monday 14 August 2023,23:00,Boeing 787-9 Dreamliner,LATAM Airlines Chile,,1,"N of Panama, over Caribbean Sea - 
	   Atlantic Ocean",En route,Passenger - Scheduled,"Miami International Airport, FL (MIA/KMIA)",Santiago-Arturo Merino Benitez Airport (SCL/SCEL),"LATAM Chile flight LA505, a Boeing 787-9 Dreamliner, diverted to Panama City-Tocumen International Airport (PTY) after the pilot with F/O duties had suffered a medical issue and died in flight.  The captain and relief pilot landed the aircraft at PTY."
Friday 25 September 1998,07:50,British Aerospace BAe-146-100,Paukn Air,,38,"15,3 km N of Melilla Airport (MLN) - 
	   Morocco",Approach,Passenger - Scheduled,Málaga Airport (AGP/LEMG),Melilla Airport (MLN/GEML),"Paukn Air Flight 4101, a BAe-146 jet, took off from Malaga, Spain, at 07:25 hours local time for a flight across the Mediterranean Sea to the Spanish enclave Melilla on the Moroccan coast. Flight 4101 climbed to the cruising altitude of FL140. The copilot contacted ATC at Sevilla and received clearance to descend to FL70. Two minutes later the flight was further cleared to 5000 feet and the crew were instructed to contact Melilla Tower. The copilot reported to the Melilla Tower controller that they were 30 nm from the airport, descending to 5000 feet.  Melilla Tower then reported that runway 33 was in use and reported wind at 270 degrees at 5 knots, visibility 8 km with few clouds at 1000 feet. At 06:45 the copilot reported that they were at 22nm at an altitude of 3000 feet. By now they had descended below the MSA of 4000 feet. The descent was continued and the airplane crossed the coast line at about 1100 feet. In IMC conditions the flight descended over mountainous terrain. At 07:49:52 the GPWS alarm sounded ""terrain, terrain"". Dangerously close to terrain, at about 890 feet, the GPWS alarm sounded again ""Whoop, whoop, Pull Up, Whoop, whoop, Pull Up"". The airplane struck terrain at an elevation of 886 feet and broke up.  CONCLUSION: ""Given the facts and analysis conducted, the Commission concluded that the accident was caused by a collision with terrain in IMC. This confirms the hypothesis put forward by members of the committee of investigation from the beginning of their investigations, it is a type of CFIT accident (collision with the ground without loss of control) due to a combination of several factors: - Non-application of the arrival procedure, including descending below the minimum safe altitude; - Inadequate crew coordination; - Non-application of company procedures regarding GPWS alarm. """
Monday 7 December 1987,16:16,British Aerospace BAe-146-200,Pacific Southwest Airlines - PSA,8571,43,"ca 19 km SW of Paso Robles, CA - 
	   United States of America",En route,Passenger - Scheduled,"Los Angeles International Airport, CA (LAX/KLAX)","San Francisco International Airport, CA (SFO/KSFO)","A British Aerospace BAe-146-200 passenger jet, registered N350PS, was destroyed when it impacted the ground near Paso Robles, CA. All five crew members and 38 passengers on board were killed. Pacific Southwest Airlines Flight 1771 hade departed Los Angeles International Airport, CA (LAX) on a domestic flight to San Francisco International Airport, CA (SFO). A recently discharged USAir employee boarded the flight after bypassing security. He carried a borrowed 44 caliber pistol. His former supervisor was on board the flight.  At 16:13, the pilot reported to Oakland ARTCC that he had an emergency and that gunshots had been fired in the airplane. Within 25 seconds, Oakland CTR controllers observed that PSA1771 had begun a rapid descent from which it did not recover. Witnesses on the ground said the airplane was intact and there was no evidence of fire before the airplane struck the ground in a steep nose-down attitude. The cvr tape revealed the sounds of a scuffle and several shots which were apparently fired in or near the cockpit. The pistol was found in the wreckage with 6 expended rounds. FAA rules permitted airline employees to bypass security checkpoints.  PROBABLE CAUSE: control interference .. intentional .. passenger sabotage .. intentional .. passenger emotional reaction .. passenger  CONTRIBUTING FACTORS: security .. inadequate .. company/operator management procedure inadequate .. company/operator management insuff standards/requirements,operation/operator .. FAA(organization)"
Friday 23 July 1993,15:40,British Aerospace BAe-146-300,China Northwest Airlines,,56,"Yinchuan Airport (INC) - 
	   China",Take off,Passenger - Scheduled,Yinchuan Airport (JIC/ZLIC),Beijing-Capital International Airport (PEK/ZBAA),"The BAe-146 didn't rotate at the VR speed. The pilot then raised the nose, causing the tail to drag along the runway 36. The aircraft still didn't get airborne and impacted earth banks, ending up in shallow water. Takeoff flaps were selected, but didn't extend. Runway length of Yinchuan (3600 feet airfield elevation) was 7200 feet."
Thursday 12 November 2009,13:15,Canadair CL-600-2B19 Regional Jet CRJ-100ER,"Rwandair Express, lsf JetLink Express",17140,1,"Kigali International Airport (KGL) - 
	   Rwanda",Taxi,Passenger - Scheduled,Kigali International Airport (KGL/HRYR),Entebbe Airport (EBB/HUEN),"A Canadair CRJ-100ER RegionalJet passenger plane, 5Y-JLD, operated by JetLink Express on behalf of Rwandair, was substantially damaged when it struck an airport building at Kigali Airport (KGL), Rwanda. One passenger was killed. The airplane operated on a scheduled international flight to Entebbe Airport (EBB), Uganda. Flight 205 departed Kigali at 12:54 hours local time. During the initial takeoff climb, the flight crew experienced a jammed thrust lever for the number 1 (left) engine and was unable to reduce the power. The captain notified air traffic control, and entered into a holding pattern, while the first officer and an accompanying company maintenance engineer unsuccessfully tried to rectify the jammed throttle problem. The captain decided to return to Kigali where, on a second attempt, a landing was performed on runway 28. The captain then taxied to the parking bay where he stopped the airplane, shut down the number 2 (right) engine; however the number 1 engine continued to operate at high power settings. The airplane taxied back to the apron. However as the ground crew went to put on the main gear wheel chocks, the aircraft suddenly accelerated, turned right knocking over blast fences until it hit the eastern wall of the VIP building after covering a distance of about 500 meters. After hitting the wall, the flight attendants aboard the aircraft initiated an evacuation sequence and the passengers escaped through the over-wing emergency door and walked away from the aircraft to the terminal building. The nose gear collapsed and the nose was buried inside the building up to and including the left hand forward passenger door.  Probable Cause: ""The flight crew's failure to identify corrective action and their lack of knowledge of applicable airplane and engine systems in response to a jammed thrust lever, which resulted in the number 1 engine operating at high power and the airplane configured in an unsafe condition that led to the need to apply heavy braking during landing. Also causal was the flightcrew failure to recognize the safety hazard that existed from overheated brakes and the potential consequence on the braking action needed to park the airplane. Contributing factors included the possible failure by maintenance crew to correctly stow the upper core cowl support strut after maintenance, Flightcrew's failure to follow standard operating procedures, the company's failure to be availed to manufacturer safety literature on the subject, and the susceptibility of the cowl core support shaft to interfere with the throttle control mechanism when the core strut is not in its stowed position."""
Tuesday 17 July 2012,01:00,Canadair CL-600-2B19 Regional Jet CRJ-200ER,SkyWest Airlines,,1,"Saint George Municipal Airport, UT (SGU) - 
	   United States of America",Taxi,Illegal Flight,"Saint George Municipal Airport, UT (SGU/KSGU)",-,"A CRJ-200 passenger jet was damaged when it ran into a parking lot after being stolen at night.  A commercial pilot wanted in connection with the killing of his girlfriend in Colorado Springs went up to the Saint George Municipal Airport, UT (SGU) gained access to the airfield by climbing over the barbed wire fence. He walked to a parked SkyWest Airlines CRJ-200 and managed to board the plane and start the engines. A security guard saw the airplane starting to taxy. It reportedly struck part of the terminal building and ended up in a parking lot. The pilot then shot himself once, killing himself inside the plane.  The CRJ200 involved had arrived at Saint George on Monday night 16 July at 22:36 on flight SKW7772 from Salt Lake City, UT and was staying overnight at Saint George."
Saturday 21 February 1970,13:33,Convair CV-990-30A-6 Coronado,Swissair,,47,"2 km W of Würenlingen - 
	   Switzerland",En route,Passenger - Scheduled,Zürich-Kloten Airport (ZRH/LSZH),Tel Aviv-Lod International Airport (TLV/LLBG),"A Convair CV-990 Coronado passenger plane, operated by Swissair, was destroyed when it crashed near Würenlingen, Switzerland, killing all 47 on board. Swissair flight 330 took off from Zürich-Kloten Airport (ZRH), Switzerland at 13:14 on a scheduled flight to Tel Aviv (TLV), Israel. Seven minutes later an explosion occurred in the aft cargo hold. The airplane was flying at an altitude of 4300 m over Sattel-Hochstuckli, 41 km south of the airport. The flight crew reported a loss of cabin pressure and initiated a return to Zürich Airport. At 13:26 the crew radioed: ""This is an emergency - we have fire on board and request immediate landing... our navigation is not OK... we request police investigation."" Smoke on the flight deck prevented the crew from seeing the instruments and about 13:33 electrical power was lost. The airplane entered a steep descent and impacted the wooded Unterwald area near Würenlingen, Switzerland, about 24 km west-northwest of the airport.  On the same day, a bomb exploded aboard a Vienna-bound Caravelle after takeoff from Frankfurt. The Caravelle, operated by Austrian Airlines landed safely. It was suspected that the Popular Front for the Liberation of Palestine (PFLP) was responsible for both attacks. However, the federal prosecutor's office closed the criminal investigation into the perpetrators of the attack in November 2000 because the attackers could not be identified and arrested. Both bombings led to a UN treaty adopted in 1971, named Convention for the Suppression of Unlawful Acts against the Safety of Civil Aviation."
Thursday 30 March 1967,00:50,Douglas DC-8-51,Delta Air Lines,23391,6,"New Orleans, LA - 
	   United States of America",Approach,Training,"New Orleans International Airport, LA (MSY/KMSY)","New Orleans International Airport, LA (MSY/KMSY)","Delta Air Lines DC-8-51 N802E was scheduled as Flight 9877, to provide crew training for a captain-trainee and a flight engineer-trainee. In addition the flight engineer-instructor was being given a routine proficiency check.  At 23:14 a weather briefing was given to the instructor pilot, indicating, ""... the only significant weather was a restriction in visibility which was expected to reduce to about two miles in fog and smoke near 0600..."". The flight departed the ramp at 00:40 with the captain-trainee in the left seat and the check captain in the right seat. At 00:43 the crew advised the tower they were ready for takeoff and would ""...like to circle and land on one (runway 1)."" The tower controller then cleared them as requested. The aircraft was observed to make what appeared to be a normal takeoff and departure. At 00:47 the crew reported on base leg for runway 1, and the controller cleared the flight to land. A subsequent discussion revealed that they would execute a simulated two-engine out approach, execute a full stop landing and then takeoff on runway 19. The tower controller observed Flight 9877 in a shallow left turn on what appeared to be a normal final approach. The degree of bank increased to approximately 60 degrees or greater when the aircraft hit the power lines approximately 2,300 feet short and 1,100 feet west of the runway threshold. The DC-8 crashed into a residential area, destroying several homes and a motel complex.  PROBABLE CAUSE: ""Improper supervision by the instructor, and the improper use of flight and power controls by both instructor and the Captain-trainee during a simulated two-engine out landing approach, which resulted in a loss of control."""
Tuesday 24 August 2010,21:38,Embraer ERJ 190-100 LR  (ERJ-190LR),Henan Airlines,5109,44,"0,9 km E of Yichun Lindu Airport (LDS) - 
	   China",Landing,Passenger - Scheduled,Harbin-Taiping International Airport (HRB/ZYHB),Yichun Lindu Airport (LDS/ZYLD),"An Embraer 190LR passenger jet, registered B-3130, was destroyed in an accident while on approach to Yichun Lindu Airport (LDS), China. Forty-four occupants were killed; the airplane was destroyed by fire. Henan Airlines Flight VD8387 departed from Harbin-Taiping International Airport (HRB) at 20:51. The ERJ-190 climbed to the assigned cruising altitude of 6300 m. At 21:10 the flight crew established radio contact with air traffic control at Yichun. The controller informed the flight crew that the visibility was 2800 m. Radiation fog had started to form and caused a rapid reduction in visibility.  The flight crew then prepared for a runway 30 approach and landing. While entering the procedure turn for final approach, the copilot reported observing the runway lights. At the completion of the procedure turn, at 21:33, the controller reminded the crew that the minimum descent altitude was 440 m. Three minutes later the airplane entered the area with radiation fog. The captain switched off the autopilot at 21:36 and continued the approach although the runway was not in sight. The approach was continued until the airplane struck terrain about 870 m short of runway 30. Fuel from the ruptured tanks ignited and a fire erupted.  Investigators from the State Administration of Work Safety concluded that the captain, on his first flight into Yichun, continued the approach despite the fact that the reported visibility of 2800 m was below the minimum of 3600 m. Also, the crew continued the approach into radiation fog and without being able to see the runway. The crew failed to initiate a missed approach when the radio altimeter callouts indicated that the airplane was near the ground. A contributing factor to the accident was Henan Airlines' weak safety management. The parent company, Shenzen Airlines failed to supervise the safety management at Henan Airlines."
Tuesday 25 December 2012,08:53,Fokker 100,Air Bagan,27378,1,"ca 1 km S of Heho Airport (HEH) - 
	   Myanmar",Approach,Passenger - Scheduled,Mandalay International Airport (MDL/VYMD),Heho Airport (HEH/VYHH),"An Air Bagan Fokker 100 aircraft registered XY-AGC departed Yangon International Airport, Myanmar on a domestic scheduled passenger flight to Mandalay International Airport with the captain as pilot flying. The aircraft was refueled at Mandalay after 60 passengers disembarked and 46 passengers boarded. The captain made the briefing and completed the aircraft checks. At 08:26 local time, the flight departed Mandalay to Heho Airport. The first officer was designated as the Pilot Flying for the flight.  The aircraft climbed to FL130 and the captain contacted Heho ATC at 50 NM from Heho. Heho ATC provided the present weather condition (wind calm, visibility 3000 m, distinct fog, temperature 17°C, QNH 1018 mb, runway 36 in use). At about 08:36 local time, the first officer started the crew briefing. The aircraft started descend to 9000 ft and continued to overhead the Heho NDB. At about 08:47 local time, while heading 220 degrees and descending to 6000 ft the flight commenced a non-precision Non Directional Beacon (NDB) approach to runway 36. During the final inbound track at about 2.5 NM to the runway at 08:52, the EGPWS aural warning called out ""500"". The captain initiated ""Alt hold"" at about 08:53, just before the EGPWS alert ""100"" ""50"" 40"" ""30"" and the aircraft struck 66 KV power lines, trees, telephone cables, a fence and collided with terrain short of the runway, coming to rest approximately 0.7 NM from the threshold. During the ground collision, both wings separated and a fire commenced almost immediately. An emergency evacuation was initiated by the cabin crews. One aircraft occupant and one motorcyclist on the ground were fatally injured, 70 of the occupants and one motorcyclist survived and the aircraft was destroyed by fire.  Primary Cause: - During the final approach, the aircraft descended below the MDA and the crew did not follow the operator SOP's. - The pilots had no corrective action against to change VMC to IMC during bad weather condition and insufficient time for effective respond to last moment. Secondary Cause: - Captain of the aircraft had insufficient assessment on the risk that assigned the FO as PF. - There may be under pressure by the following aircrafts as the first plane on that day to Heho."
Tuesday 1 January 1974,12:38,Fokker F-28 Fellowship 1000,Aerolinee Itavia,8712,38,"3,7 km S of Torino Airport (TRN) - 
	   Italy",Approach,Passenger - Scheduled,Bologna Airport (BLQ/LIPE),Torino-Caselle Airport (TRN/LIMF),"During its final approach to Torino (TRN), the aircraft was flying under radar control in fog and unfavourable weather conditions. Runway visual range for runway 36 was 900 m. After hitting a tree top, the aircraft collided with the top of a building under construction. This resulted in separation of the right wing trailing edge flaps and rupture of the lower wing surface. The aircraft started rolling to the right. The right wing and tailplane then hit the ground and both separated. While the aircraft kept rolling, the left wing hit the ground and separated as well. The fuselage hit the ground while inverted and came to rest, also inverted, against and partly in a farm building."
Saturday 29 January 1972,,Grumman C-2A Greyhound,United States Navy,,2,"Mediterranean Sea - 
	   Mediterranean Sea",Approach,Military,Napoli-Capodichino Airport (NAP/LIRN),USS Independence,Crashed into sea while attempting to land on carrier USS Independence. The aircraft sank six minutes after impact with the two pilots trapped in the cockpit.
Friday 27 May 1977,08:45,Ilyushin Il-62M,"Aeroflot, International Civil Aviation Directorate",5549,67,"1,3 km SW of Havana-José Martí International Airport (HAV) - 
	   Cuba",Approach,Passenger - Scheduled,Lisboa-Portela de Sacavém Airport (LIS/LPPT),Havana-José Martí International Airport (HAV/MUHA),"Aeroflot flight 331 departed Moscow-Sheremetyevo Airport on a scheduled service to Havana, Cuba, with en route stops at Frankfurt, Germany and Lisbon, Portugal. After the crew change, the flight took off from Lisbon at 03:32 UTC.  The en route part of the flight was uneventful. Descending towards Havana, the flight was vectored for an approach to runway 05. The aircraft turned onto runway heading at a distance of 9 km from the runway threshold. According to the approach procedure, the aircraft should have done so at 14-15 km from the threshold. During the approach the flight crew encountered a local fog bank. With the runway not in sight, the aircraft descended below the decision height of 150 m. At that point the aircraft was 3 km from the runway threshold.  The flight crew had not set their altimeters to the airfield pressure (QFE) of 752 mm Hg. This caused the aircraft to be lower than indicated. At a distance of 1,820 meters from the runway the aircraft hit  power lines, causing the aircraft to bank 70° to the right. The aircraft cut the tops of 22 palm trees, passed across a canal and impacted wasteland terrain 1270 m short of the runway and 121 m to the right of the extended centreline."
Sunday 11 December 1988,06:22,Ilyushin Il-76M,Soviet Air Force,,77,"15 km from Leninakan Airport (LWN) - 
	   Armenia",Approach,Passenger - Non-Scheduled/charter/Air Taxi,Baku-Bina International Airport (BAK/UBBB),Leninakan Airport (LWN/UDSG),"The Ilyushin Il-76 was part of an air relief operation following an earthquake in Armenia on Dec. 7, 1988. The aircraft flew into the side of a mountain while on approach to Leninakan. The crew had used an incorrect altimeter setting (734 mm Hg instead of 634 mm Hg). This resulted in an erroneous altitude indication that was 1100 metres above the actual altitude. The crew were tired, since they did not have sufficient rest. They made several relief flights the day before."
Sunday 28 July 2002,15:25,Ilyushin Il-86,Pulkovo Aviation Enterprise,18363,14,"1,1 km N of Moskva-Sheremetyevo Airport (SVO) - 
	   Russia",Take off,Ferry/positioning,Moskva-Sheremetyevo Airport (SVO/UUEE),Saint Petersburg-Pulkovo Airport (LED/ULLI),"An Ilyushin 86, registration RA-86060, was destroyed when it crashed on takeoff from Moscow's Sheremetyevo Airport in Russia. The aircraft had been chartered to carry out a return flight between Sheremetyevo Airport and Sochi. After completion of this flight, the aircraft was to be repositioned to the home base at Saint Petersburg. On takeoff, two seconds after rotation, the stabilizer trimmed to the full up (-12 degrees) position. This brought the aircraft in a  supercritical angle of attack, which could not be arrested by pushing the control column to the full forward position. The aircraft stalled and impacted the ground.  The cause could not be determined with certainty due to the almost complete destruction of the main and reserve stabilizer control system units as a result of the fire on the ground and lack of information on the primary and backup stabilizer control systems on the flight data recorder, and the lack of crew comments on the cockpit voice recorder. The accident of IL-86 RA-86060 could be caused by an electrical failure in the stabilizer control system, which led to the reverse control response when controlling the stabilizer from the main system or inadequate actions of one of the pilots, expressed in pressing and holding the ""pitch up"" stabilizer switch on the control column."
Tuesday 27 June 2000,,Kawasaki C-1A,Japan Air Self-Defense Force - JASDF,,5,"off Shimano - 
	   Japan",En route,Military,Yonago-Miho Air Base (YGJ/RJOH),Yonago-Miho Air Base (YGJ/RJOH),Crashed in sea during a test flight following routine maintenance.
Tuesday 28 August 1973,21:45,Lockheed C-141A-10-LM Starlifter,United States Air Force - USAF,14372,24,"near Hueva, Guadalajara - 
	   Spain",Approach,Military,Athens-Ellinikon International Airport (ATH/LGAT),Madrid-Torrejón AFB (TOJ/LETO),"The C-141 departed Athens for a night-time flight to Madrid, the first leg of a flight back to McGuire AFB. The crew were cleared for an ILS approach to Torrejon's runway 23. Weather was reported as 20,000 foot overcast, with 10 NM visibility. During the descent the crew forgot to use the Descent Checklist. Thus, the crew had failed to set their altimeters from 29.92"" to the local altimeter setting of 30.17"". Additionally, they did not turn on the radar altimeter. While at FL60 the crew was given a clearance to a lower altitude. Because of heavy radio traffic, the clearance was garbled. They were not sure if the controller had cleared them down to 5000 or 3000 feet. They agreed that it must have been 3000 feet. They read back ""three thousand feet"", but the controller failed to notice the error. When reporting ""passing 5000 for 3000"" to another controller, the error again was not noticed. Nearing 3000 feet, the navigator noticed a hill ahead and above their altitude, but the pilot reassured him that ""everything looks clear ahead"", with the lights of the air base visible in the valley below. At an altitude of 3050 feet, at a speed of 250 kts, the airplane impacted terrain near the edge of a plateau, 40 km east of the Torrejón Air Force Base. It became airborne again, rolled over and crashed into a ravine in an inverted attitude. At the time of the accident, the crew had spent only eight of the last 60 hours in bed. Investigators determined that several switches had been left in an incorrect position, indicating the fatigue of the crew."
Friday 4 April 1975,16:30,Lockheed C-5A Galaxy,United States Air Force - USAF,,138,"4 km NE of Saigon-Tan Son Nhat International Airport (SGN) - 
	   Vietnam",En route,Military,Saigon-Tan Son Nhat International Airport (SGN/VVTS),Angeles City-Clark Air Base (CRK/RPMK),"The Lockheed C-5A Galaxy (68-0218) was engaged in Operation Babylift, a mission to bring Vietnamese orphans to the US in the few remaining days before the Republic of Vietnam fell. The C-5 departed Saigon-Tan Son Nhut Airport at 16:03. Twelve minutes after takeoff, after climbing through FL230, there was what seemed to be an explosion as the lower rear fuselage was torn apart. The locks of the rear loading ramp had failed, causing the door to open and separate. A rapid decompression occurred. Control and trim cables to the rudder and elevators were severed, leaving only one aileron and wing spoilers operating. Two of the four hydraulic systems were out. The crew wrestled at the controls, managing to keep control of the plane with changes in power settings by using the one working aileron and wing spoilers. The crew descended to an altitude of 4,000 feet on a heading of 310 degrees in preparation for landing on Tan Son Nhut's runway 25L. About halfway through a turn to final approach, the rate of descent increased rapidly to 4,000 feet per minute. Seeing they couldn't make the runway, full power was applied to bring the nose up. At 50 feet, the throttles where retarded to idle and the C-5 touched down in a rice paddy. Skidding about 1,000 feet, the aircraft again became airborne for a half mile before hitting a dike and breaking into four parts. The cargo compartment with 149 orphans and attendants was completely destroyed. Only three of 152 in the troop compartment perished. In total 138 of the 314 occupants died in the accident."
Monday 22 December 1980,23:12,Lockheed L-1011 TriStar 200,Saudi Arabian Airlines,,2,"over Qatar - 
	   Qatar",En route,Passenger - Scheduled,Dhahran International Airport (DHA/OEDR),Karachi International Airport (KHI/OPKC),"Flight SV162 experienced an explosive decompression of the cabin while climbing through 29.000 feet over international waters near the State of Qatar. The aircraft had departed Dhahran, Saudi Arabia, and was enroute to Karachi, Pakistan. An emergency descent was initiated and a successful landing was made at Doha International Airport in Qatar. Two passengers were killed when they were ejected from the aircraft through a hole in the cabin floor which had resulted from the forces of explosive decompression.  PROBABLE CAUSE: ""The Presidency of Civil Aviation determines that the probable cause of this accident was an in-flight, fatigue failure of a main landing gear inboard wheel flange resulting in the rupture of the aircraft's pressure hull and explosive decompression. The failure of the flange,was the result of the failure of the B.F. Goodrich Company and the Lockheed Aircraft Company to properly assess the safety hazard associated with the type of wheels installed on aircraft HZ-AHJ. Contributing to the accident was the lapse of effective quality control procedures by the B.F. Goodrich Company and the failure of the Federal Aviation Administration to provide adequate surveillance of the manufacturer."""
Wednesday 28 July 2010,18:22,McDonnell Douglas C-17A Globemaster III,United States Air Force - USAF,,4,"ca 3 km NW of Anchorage-Elmendorf AFB, AK (EDF) - 
	   United States of America","Manoeuvring  (airshow, firefighting, ag.ops.)",Military,"Anchorage-Elmendorf AFB, AK (EDF/PAED)","Anchorage-Elmendorf AFB, AK (EDF/PAED)","A C-17 cargo plane operated by the US Air Force 517AS/3rd Wing crashed and burned near Anchorage-Elmendorf AFB, AK (EDF). The airplane executed a takeoff from runway 06 to practice maneuvers for the upcoming 31 July 2010 Arctic Thunder Air Show. After the initial climb out and left turn, the pilot executed an aggressive right turn. As the aircraft banked, the stall warning system activated to alert the crew of an impending stall. Instead of implementing stall recovery procedures, the pilot continued the turn as planned, and the aircraft entered a stall from which recovery was not possible. Although the pilot eventually attempted to recover the aircraft, he employed incorrect procedures, and there was not sufficient altitude to regain controlled flight. The aircraft impacted wooded terrain northwest of the airfield, damaged a portion of the Alaskan Railroad, and was destroyed.  The board president found clear and convincing evidence that the cause of the mishap was pilot error. The pilot violated regulatory provisions and multiple flight manual procedures, placing the aircraft outside established flight parameters at an attitude and altitude where recovery was not possible. Furthermore, the copilot and safety observer did not realize the developing dangerous situation and failed to make appropriate inputs. In addition to multiple procedural errors, the board president found sufficient evidence that the crew on the flight deck ignored cautions and warnings and failed to respond to various challenge and reply items. The board also found channelized attention, overconfidence, expectancy, misplaced motivation, procedural guidance, and program oversight substantially contributed to the mishap."
Saturday 3 November 1973,16:40,McDonnell Douglas DC-10-10,National Airlines,5954,1,"near Socorro, NM - 
	   United States of America",En route,Passenger - Scheduled,"Houston-Intercontinental Airport, TX (IAH/KIAH)","Las Vegas-McCarran International Airport, NV (LAS/KLAS)","National Airlines Flight 27 departed Houston for Las Vegas and climbed to FL390. Suddenly the No. 3 engine fan assembly disintegrated and fragments penetrated the fuselage the Nos. 1 and 2 engine nacelles, and the right wing area. As a result, the cabin depressurized and one cabin window, which was struck by a fragment of the fan assembly, separated from the fuselage. The passenger who was sitting next to that window was forced through the opening and ejected from the aircraft. The flightcrew initiated an emergency descent, and the aircraft landed safely at Albuquerque International Airport 19 minutes after the engine failed.  PROBABLE CAUSE: ""The disintegration of the No. 3 engine fan assembly as a result of an interaction between the fan blade tips and the fan case. The fan-tip rub condition was caused by the acceleration of the engine to an abnormally high fan speed which initiated a multiwave, vibratory resonance within the fan section of the engine. The precise reason or reasons for the acceleration and the onset of the destructive vibration could not be determined conclusively."""
Friday 24 November 1972,,McDonnell Douglas DC-8-60,Air Canada,,1,"Frankfurt - 
	   Germany",Unknown,Unknown,Frankfurt International Airport (FRA/EDDF),"Montreal (unknown airport), QC",One hijacker demanded release of prisoners. Plane stormed/hijacker arrested.
Wednesday 16 February 2000,19:51,McDonnell Douglas DC-8-71F,Emery Worldwide,84447,3,"2,4 km E of Sacramento-Mather Airport, CA (MHR) - 
	   United States of America",Initial climb,Cargo,"Sacramento-Mather Airport, CA (MHR/KMHR)","Dayton-James Cox Dayton International Airport, OH (DAY/KDAY)","Emery Flight 17 had just departed Sacramento-Mather Airport runway 22L when the crew reported balance problems. A little later the aircraft was seen to crash in a left wing low, nose low attitude, into the Insurance Auto Auctions salvage yard, setting fire to 100-200 cars. Debris cut a swath about 250 yards wide and a 600yds long. The plane's cargo included clothing, transmission fluid and a small amount of 9 grams fuses used to activate automobile air bags. The NTSB is focusing on the possibility that a push rod in an elevator control tab may have been separated from the control system of the plane before impact.  PROBABLE CAUSE: ""A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt."""
